Iteration,All with BEV100,LFLM with BEV100,All with BEV250
869,32.32,67.32,76.62
870,48.92,77.97,90.19
871,56.33,91.88,95.75
872,33.43,68.43,77.40
873,23.77,58.77,70.64
874,53.05,85.73,93.29
875,53.20,86.00,93.40
876,59.10,97.06,97.82
877,53.36,86.30,93.52
878,50.12,80.22,91.09
879,33.20,68.20,77.24
880,26.33,61.33,72.43
881,54.47,88.37,94.35
882,36.35,71.35,79.44
883,29.38,64.38,74.56
884,31.83,66.83,76.28
885,57.57,94.20,96.68
886,47.52,82.52,87.26
887,20.46,55.46,68.32
888,46.44,81.44,86.51
889,21.33,56.33,68.93
890,56.14,91.51,95.61
891,43.92,68.59,86.44
892,49.91,79.84,90.93
893,48.76,77.68,90.07
894,60.74,70.85,81.88
895,41.66,64.36,84.74
896,59.70,98.18,81.88
897,20.69,55.69,68.48
898,54.74,88.88,94.55
899,63.84,70.85,81.88
900,56.80,92.75,96.10
901,14.59,49.59,64.21
902,31.94,66.94,76.36
903,55.51,90.33,95.13
904,60.12,98.97,81.88
905,54.00,87.51,94.00
906,47.33,75.00,89.00
907,45.08,70.78,87.31
908,34.38,50.72,79.29
909,50.15,80.29,91.12
910,54.93,89.24,94.69
911,30.95,65.95,75.67
912,25.37,60.37,71.76
913,15.31,50.31,64.72
914,58.79,96.49,97.60
915,51.13,82.12,91.85
916,59.65,98.09,81.88
917,61.72,70.85,81.88
918,36.89,71.89,79.82
919,30.36,65.36,75.25
920,49.44,84.44,88.60
921,43.88,68.53,86.41
922,53.21,88.21,91.25
923,33.49,68.49,77.44
924,53.58,86.71,93.69
925,34.21,69.21,77.95
926,20.75,55.75,68.53
927,19.93,54.93,67.95
928,58.89,96.67,97.67
929,39.34,74.34,81.54
930,56.18,91.59,95.64
931,38.14,73.14,80.70
932,39.15,74.15,81.41
933,59.32,97.47,97.99
934,54.45,88.35,94.34
935,37.96,72.96,80.57
936,51.69,86.69,90.18
937,30.58,65.58,75.41
938,50.55,81.03,91.41
939,26.32,61.32,72.43
940,45.68,71.90,87.76
941,53.36,86.30,93.52
942,36.76,71.76,79.73
943,50.44,80.83,91.33
944,50.96,81.80,91.72
945,37.58,56.71,81.68
946,44.86,70.37,87.15
947,43.48,78.48,84.44
948,52.52,87.52,90.76
949,25.06,60.06,71.54
950,34.74,69.74,78.32
951,52.52,84.73,92.89
952,45.14,70.88,87.35
953,35.25,70.25,78.67
954,32.14,67.14,76.50
955,28.66,63.66,74.06
956,47.04,74.44,88.78
957,39.65,74.65,81.75
958,36.45,54.60,80.84
959,67.11,70.85,81.88
960,43.53,67.86,86.15
961,51.98,83.72,92.49
962,64.82,70.85,81.88
963,52.07,83.88,92.55
964,52.11,87.11,90.48
965,39.67,60.63,83.25
966,55.91,91.08,95.43
967,50.11,80.21,91.09
968,8.10,43.10,59.67
969,37.39,72.39,80.17
970,26.56,61.56,72.59
971,34.56,69.56,78.19
972,38.78,73.78,81.15
973,51.72,83.23,92.29
974,22.94,57.94,70.06
975,55.53,90.37,95.15
976,44.25,69.21,86.68
977,61.25,70.85,81.88
978,35.05,70.05,78.54
979,50.27,85.27,89.19
980,30.65,65.65,75.45
981,65.21,70.85,81.88
982,39.60,60.49,83.20
983,25.13,60.13,71.59
984,37.15,55.90,81.36
985,42.59,66.10,85.44
986,57.57,94.19,96.68
987,21.85,56.85,69.29
